productId,assignments,coverageStatus,reviewCandidates,warnings,deferredFindings
7,,NO_CAPABILITY_APPLICABLE,,,
8,,NO_CAPABILITY_APPLICABLE,,,
9,,NO_CAPABILITY_APPLICABLE,,,
10,,NO_CAPABILITY_APPLICABLE,,,
11,,NO_CAPABILITY_APPLICABLE,,,
12,,UNMODELED,,,
13,,NO_CAPABILITY_APPLICABLE,,,
14,,NO_CAPABILITY_APPLICABLE,,,
15,,NO_CAPABILITY_APPLICABLE,,,
16,,UNMODELED,,,
17,,NO_CAPABILITY_APPLICABLE,,,
18,LEG_CURL:DIRECT:HIGH,UNMODELED,,,
19,,NO_CAPABILITY_APPLICABLE,,,
20,,NO_CAPABILITY_APPLICABLE,,,
21,,NO_CAPABILITY_APPLICABLE,,,
22,,NO_CAPABILITY_APPLICABLE,,,
23,,NO_CAPABILITY_APPLICABLE,,,
24,,NO_CAPABILITY_APPLICABLE,,,
25,,NO_CAPABILITY_APPLICABLE,,,
26,,NO_CAPABILITY_APPLICABLE,,,
27,,NO_CAPABILITY_APPLICABLE,,,
28,,NO_CAPABILITY_APPLICABLE,,,
29,,NO_CAPABILITY_APPLICABLE,,,
30,,NO_CAPABILITY_APPLICABLE,,,
31,,NO_CAPABILITY_APPLICABLE,,,
32,,NO_CAPABILITY_APPLICABLE,,,
33,,NO_CAPABILITY_APPLICABLE,,,
34,,NO_CAPABILITY_APPLICABLE,,,
35,,NO_CAPABILITY_APPLICABLE,,,
38,,UNMODELED,,,
39,,UNMODELED,,,
40,,NO_CAPABILITY_APPLICABLE,,,
41,,UNMODELED,,,
42,,UNMODELED,,,
43,,NO_CAPABILITY_APPLICABLE,,,
44,,NO_CAPABILITY_APPLICABLE,,,
45,,NO_CAPABILITY_APPLICABLE,,,
46,,NO_CAPABILITY_APPLICABLE,,,
47,,NO_CAPABILITY_APPLICABLE,,,
48,,NO_CAPABILITY_APPLICABLE,,,
49,,NO_CAPABILITY_APPLICABLE,,,
50,,NO_CAPABILITY_APPLICABLE,,,
51,,NO_CAPABILITY_APPLICABLE,,,
52,,UNMODELED,,,
53,,UNMODELED,,,
54,,UNMODELED,,,
56,,UNMODELED,,,
57,,UNMODELED,,,
58,,UNMODELED,,,
59,,UNMODELED,,,
60,,UNMODELED,,,
61,,UNMODELED,,,
62,,UNMODELED,,,
63,,UNMODELED,,,
64,,UNMODELED,,,
65,,UNMODELED,,,
66,,NO_CAPABILITY_APPLICABLE,,,
67,,NO_CAPABILITY_APPLICABLE,,,
68,,NO_CAPABILITY_APPLICABLE,,,
69,,UNMODELED,,,
70,,UNMODELED,,,
76,,NO_CAPABILITY_APPLICABLE,,,
77,,NO_CAPABILITY_APPLICABLE,,,
78,,NO_CAPABILITY_APPLICABLE,,,
79,,NO_CAPABILITY_APPLICABLE,,,
80,,UNMODELED,,,
81,,UNMODELED,,,
82,,UNMODELED,,,
84,,UNMODELED,,,
85,,UNMODELED,,,
86,,UNMODELED,,,
87,,UNMODELED,,,
88,,UNMODELED,,,
89,,UNMODELED,,,
90,,UNMODELED,,,
91,,UNMODELED,,,
92,,UNMODELED,,,
93,,UNMODELED,,,
94,,UNMODELED,,,
95,,UNMODELED,,,
96,,UNMODELED,,,
97,,UNMODELED,,,
98,,UNMODELED,,,
99,,UNMODELED,,,
100,,UNMODELED,,,
101,,UNMODELED,,,
102,,UNMODELED,,,
103,,UNMODELED,,,
104,,UNMODELED,,,
105,,UNMODELED,,,
106,,UNMODELED,,,
107,,UNMODELED,,,
108,,UNMODELED,,,
109,,UNMODELED,,,
110,,UNMODELED,,,
111,,UNMODELED,,,
112,,UNMODELED,,,
113,,UNMODELED,,,
114,,UNMODELED,,,
115,,UNMODELED,,,
116,,UNMODELED,,,
117,,UNMODELED,,,
118,,UNMODELED,,,
119,,UNMODELED,,,
120,,NO_CAPABILITY_APPLICABLE,,,
121,,NO_CAPABILITY_APPLICABLE,,,
122,,NO_CAPABILITY_APPLICABLE,,,
123,,NO_CAPABILITY_APPLICABLE,,,
124,,NO_CAPABILITY_APPLICABLE,,,
125,,NO_CAPABILITY_APPLICABLE,,,
126,,NO_CAPABILITY_APPLICABLE,,,
134,,UNMODELED,,,
135,,UNMODELED,,,
136,,UNMODELED,,,
137,,UNMODELED,,,
138,,UNMODELED,,,
139,,UNMODELED,,,
140,,NO_CAPABILITY_APPLICABLE,,,
141,,NO_CAPABILITY_APPLICABLE,,,
142,,NO_CAPABILITY_APPLICABLE,,,
143,,NO_CAPABILITY_APPLICABLE,,,
144,,NO_CAPABILITY_APPLICABLE,,,
145,,NO_CAPABILITY_APPLICABLE,,,
146,,NO_CAPABILITY_APPLICABLE,,,
147,,NO_CAPABILITY_APPLICABLE,,,
150,,UNMODELED,,,
151,,NO_CAPABILITY_APPLICABLE,,,
153,,NO_CAPABILITY_APPLICABLE,,,
154,,NO_CAPABILITY_APPLICABLE,,,
155,,NO_CAPABILITY_APPLICABLE,,,
156,,UNMODELED,,,
157,,UNMODELED,,,
158,,UNMODELED,,,
159,,UNMODELED,,,
160,,UNMODELED,,,
161,,UNMODELED,,,
162,,NO_CAPABILITY_APPLICABLE,,,
163,,NO_CAPABILITY_APPLICABLE,,,
165,,NO_CAPABILITY_APPLICABLE,,,
166,,UNMODELED,,,
167,,UNMODELED,,,
168,,UNMODELED,,,
169,,UNMODELED,,,
170,,NO_CAPABILITY_APPLICABLE,,,
171,,NO_CAPABILITY_APPLICABLE,,,
172,,NO_CAPABILITY_APPLICABLE,,,
173,,NO_CAPABILITY_APPLICABLE,,,
174,,NO_CAPABILITY_APPLICABLE,,,
175,LAT_PULLDOWN:DIRECT:EXPLICIT;ROW:DIRECT:EXPLICIT,UNMODELED,,,
176,LAT_PULLDOWN:DIRECT:EXPLICIT;PULL_UP:SUPPORTED:HIGH,UNMODELED,,SUPPORTED assignment requires explicit module/configuration evidence.,
177,PULL_UP:DIRECT:EXPLICIT,UNMODELED,,,
179,,UNMODELED,,,
180,,UNMODELED,,,
181,,UNMODELED,,,
182,,UNMODELED,,,
183,,UNMODELED,,,
184,,UNMODELED,,,
185,,UNMODELED,,,
186,,UNMODELED,,,
187,,UNMODELED,,,
188,,UNMODELED,,,
189,,UNMODELED,,,
190,,UNMODELED,,,
191,,UNMODELED,,,
192,,UNMODELED,,,
193,,UNMODELED,,,
194,,UNMODELED,,,
195,,UNMODELED,,,
196,,UNMODELED,,,
197,,NO_CAPABILITY_APPLICABLE,,,
198,,NO_CAPABILITY_APPLICABLE,,,
199,,NO_CAPABILITY_APPLICABLE,,,
200,,NO_CAPABILITY_APPLICABLE,,,
201,,NO_CAPABILITY_APPLICABLE,,,
202,,NO_CAPABILITY_APPLICABLE,,,
203,,NO_CAPABILITY_APPLICABLE,,,
204,,NO_CAPABILITY_APPLICABLE,,,
205,,NO_CAPABILITY_APPLICABLE,,,
206,,NO_CAPABILITY_APPLICABLE,,,
207,,NO_CAPABILITY_APPLICABLE,,,
208,,NO_CAPABILITY_APPLICABLE,,,
209,,NO_CAPABILITY_APPLICABLE,,,
210,,NO_CAPABILITY_APPLICABLE,,,
211,,NO_CAPABILITY_APPLICABLE,,,
212,,NO_CAPABILITY_APPLICABLE,,,
213,,NO_CAPABILITY_APPLICABLE,,,
214,,NO_CAPABILITY_APPLICABLE,,,
215,,NO_CAPABILITY_APPLICABLE,,,
216,,NO_CAPABILITY_APPLICABLE,,,
217,,NO_CAPABILITY_APPLICABLE,,,
218,,NO_CAPABILITY_APPLICABLE,,,
219,,NO_CAPABILITY_APPLICABLE,,,
220,,NO_CAPABILITY_APPLICABLE,,,
221,,NO_CAPABILITY_APPLICABLE,,,
222,,NO_CAPABILITY_APPLICABLE,,,
223,,UNMODELED,,,
224,,NO_CAPABILITY_APPLICABLE,,,
225,,NO_CAPABILITY_APPLICABLE,,,
226,,NO_CAPABILITY_APPLICABLE,,,
227,,NO_CAPABILITY_APPLICABLE,,,
228,,NO_CAPABILITY_APPLICABLE,,,
229,,NO_CAPABILITY_APPLICABLE,,,
230,,NO_CAPABILITY_APPLICABLE,,,
231,,NO_CAPABILITY_APPLICABLE,,,
232,,NO_CAPABILITY_APPLICABLE,,,
233,,NO_CAPABILITY_APPLICABLE,,,
234,,NO_CAPABILITY_APPLICABLE,,,
235,,NO_CAPABILITY_APPLICABLE,,,
236,,NO_CAPABILITY_APPLICABLE,,,
237,,NO_CAPABILITY_APPLICABLE,,,
238,,NO_CAPABILITY_APPLICABLE,,,
239,,NO_CAPABILITY_APPLICABLE,,,
240,,NO_CAPABILITY_APPLICABLE,,,
241,,NO_CAPABILITY_APPLICABLE,,,
242,,NO_CAPABILITY_APPLICABLE,,,
243,,NO_CAPABILITY_APPLICABLE,,,
