productId,candidateCode,matchedText,reason
256,BICEPS_CURL,curl de biceps,Candidate capability is deferred from Training Semantics V1.
258,TRICEPS_EXTENSION,extension de triceps,Candidate capability is deferred from Training Semantics V1.
282,GLUTE_KICKBACK,patada de gluteo,Candidate capability is deferred from Training Semantics V1.
386,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
392,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
450,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
451,LEG_PRESS,leg press,Candidate capability is deferred from Training Semantics V1.
477,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
488,BICEPS_CURL,curl de biceps,Candidate capability is deferred from Training Semantics V1.
659,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
746,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
761,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
788,SQUAT,sentadilla,Candidate capability is deferred from Training Semantics V1.
797,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
889,LEG_PRESS,leg press,Candidate capability is deferred from Training Semantics V1.
895,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
930,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
975,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
994,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1070,LEG_PRESS,leg press,Candidate capability is deferred from Training Semantics V1.
1071,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1088,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1112,SQUAT,sentadilla,Candidate capability is deferred from Training Semantics V1.
1113,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1227,LEG_PRESS,leg press,Candidate capability is deferred from Training Semantics V1.
1229,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1230,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1272,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1282,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1354,DEADLIFT,deadlift,Candidate capability is deferred from Training Semantics V1.
1378,LEG_PRESS,leg press,Candidate capability is deferred from Training Semantics V1.
1384,GLUTE_KICKBACK,patada de gluteo,Candidate capability is deferred from Training Semantics V1.
1401,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1411,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1512,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1515,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1536,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1540,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1545,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1652,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1654,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1707,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1796,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1797,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1798,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1825,SQUAT,sentadilla,Candidate capability is deferred from Training Semantics V1.
1832,BICEPS_CURL,biceps curl,Candidate capability is deferred from Training Semantics V1.
1873,BICEPS_CURL,biceps curl,Candidate capability is deferred from Training Semantics V1.
1884,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
2019,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
2021,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
2303,SQUAT,sentadilla,Candidate capability is deferred from Training Semantics V1.
1011,LEG_PRESS,leg press,Candidate capability is deferred from Training Semantics V1.
1080,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1398,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1399,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1400,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1644,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1697,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
1783,SQUAT,sentadilla,Candidate capability is deferred from Training Semantics V1.
1869,SQUAT,sentadilla,Candidate capability is deferred from Training Semantics V1.
1981,SQUAT,sentadilla,Candidate capability is deferred from Training Semantics V1.
1988,BICEPS_CURL,biceps curl,Candidate capability is deferred from Training Semantics V1.
2075,SQUAT,sentadilla,Candidate capability is deferred from Training Semantics V1.
2138,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
2161,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
2181,SQUAT,sentadilla,Candidate capability is deferred from Training Semantics V1.
2298,SQUAT,squat,Candidate capability is deferred from Training Semantics V1.
