productId,classifierVersion,registryVersion,registryHash,rulesHash,exerciseCapabilities,trainingFunctions,coverageStatus,reviewCandidates,warnings,deferredFindings
7,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
8,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
9,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
10,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
11,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
12,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,"[{""capabilityCode"":""PULL_UP"",""relationType"":""DIRECT"",""classificationConfidence"":""EXPLICIT""}]",[],UNMODELED,,,
13,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
14,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
15,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
16,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],UNMODELED,,,
17,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
18,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,"[{""capabilityCode"":""LEG_CURL"",""relationType"":""DIRECT"",""classificationConfidence"":""HIGH""}]",[],UNMODELED,,,
19,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
20,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
21,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
22,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
23,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
24,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
25,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
26,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
27,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
28,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
29,training-semantic-classifier-v2,training-semantic-registry-v2,7f7c6e88f31a7e4be4fb03761b58b380c6b37070297172a713b2d8a5ba9f14f8,a619932df9f2c4241330826cdd4b728164df7fa1672b2941e04fab621da8a78a,[],[],NO_CAPABILITY_APPLICABLE,,,
