productId,name,active,revenue,productFamily,coverageStatus,assignments,relationTypes,derivedBodyRegions,derivedMuscleGroups,derivedPatterns,reviewBucket,reviewQuestion
176,Crossover Lat Pulldown ZR Series | PROmachine,true,95687805,CABLE_MACHINE,UNMODELED,LAT_PULLDOWN|PULL_UP,DIRECT|SUPPORTED,UPPER_BODY,BACK|BICEPS,PULL,ASSIGNED_MULTI_ASSIGNMENT,¿La capability asignada describe realmente la función del producto?
300,Par Barras Paralelas 17cm | HWM®,true,4529464.5,BODYWEIGHT_GYMNASTICS,UNMODELED,DIP,DIRECT,UPPER_BODY,CHEST|TRICEPS,PRESS,ASSIGNED_DIRECT,¿La capability asignada describe realmente la función del producto?
497,Dual Abductor/Aductor V8 Series | Obelix,false,17472774,SELECTORIZED_MACHINE,UNMODELED,ABDUCTOR|ADDUCTOR,DIRECT|DIRECT,LOWER_BODY,,,ASSIGNED_MULTI_ASSIGNMENT,¿La capability asignada describe realmente la función del producto?
175,Polea Alta Remo Bajo | PROmachine,false,12121221.2,CABLE_MACHINE,UNMODELED,LAT_PULLDOWN|ROW,DIRECT|DIRECT,UPPER_BODY,BACK|BICEPS,PULL,ASSIGNED_MULTI_ASSIGNMENT,¿La capability asignada describe realmente la función del producto?
245,Banco Hip Thrust 1.0 | HWM,false,24385746,BENCH,UNMODELED,HIP_THRUST,DIRECT,LOWER_BODY,GLUTES,HIP_EXTENSION,ASSIGNED_DIRECT,¿La capability asignada describe realmente la función del producto?
280,Extensión de Cuádriceps MO Series | Obelix,false,13707047,SELECTORIZED_MACHINE,UNMODELED,LEG_EXTENSION,DIRECT,LOWER_BODY,QUADRICEPS,KNEE_EXTENSION,ASSIGNED_DIRECT,¿La capability asignada describe realmente la función del producto?
271,Press de Pectoral MO Series | Obelix,false,6875234,SELECTORIZED_MACHINE,UNMODELED,CHEST_PRESS,DIRECT,UPPER_BODY,CHEST|SHOULDERS|TRICEPS,PRESS,ASSIGNED_DIRECT,¿La capability asignada describe realmente la función del producto?
272,Contractora de Pectoral MO Series | Obelix,false,6072126,SELECTORIZED_MACHINE,UNMODELED,PEC_DECK,DIRECT,UPPER_BODY,CHEST,PRESS,ASSIGNED_DIRECT,¿La capability asignada describe realmente la función del producto?
259,Press de Hombro MO Series | Obelix,false,3959963,UNKNOWN,UNMODELED,SHOULDER_PRESS,DIRECT,UPPER_BODY,SHOULDERS|TRICEPS,PRESS,ASSIGNED_DIRECT,¿La capability asignada describe realmente la función del producto?
18,Banco Preolímpico | PROmachine,false,1696366,BENCH,UNMODELED,LEG_CURL,DIRECT,LOWER_BODY,HAMSTRINGS,KNEE_FLEXION,ASSIGNED_DIRECT,¿La capability asignada describe realmente la función del producto?
